You are now connected to database "nc_news" as user "Kirsty".
 comment_id |    author    | article_id | votes | created_at |                                                                                                                                                                                       body                                                                                                                                                                                       
------------+--------------+------------+-------+------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          1 | tickle122    |            |    -1 | 2016-07-09 | Itaque quisquam est similique et est perspiciatis reprehenderit voluptatem autem. Voluptatem accusantium eius error adipisci quibusdam doloribus.
          2 | grumpy19     |            |     7 | 2016-11-10 | Nobis consequatur animi. Ullam nobis quaerat voluptates veniam.
          3 | grumpy19     |            |     3 | 2017-08-31 | Qui sunt sit voluptas repellendus sed. Voluptatem et repellat fugiat. Rerum doloribus eveniet quidem vero aut sint officiis. Dolor facere et et architecto vero qui et perferendis dolorem. Magni quis ratione adipisci error assumenda ut. Id rerum eos facere sit nihil ipsam officia aspernatur odio.
          4 | happyamy2016 |            |     4 | 2016-07-05 | Rerum voluptatem quam odio facilis quis illo unde. Ex blanditiis optio tenetur sunt. Cumque dolor ducimus et qui officia quasi non illum reiciendis.
          5 | weegembump   |            |    -5 | 2017-05-31 | Quod qui quia dignissimos sit tempore vel reprehenderit. Ipsa ipsa veritatis architecto corporis et et non. Sed alias occaecati eum dignissimos sint eius. Ad ea iste quas quia velit libero voluptatem voluptatem. Animi illo nisi nulla quia sapiente omnis dolorem nulla. Sunt dolor similique.
          6 | grumpy19     |            |    -5 | 2016-07-25 | Veritatis animi et voluptates nesciunt officia facere eaque. Eligendi earum explicabo necessitatibus aut dolorem nisi esse nesciunt. Non iusto rem ut consequuntur quam ut rem sed. Velit laboriosam consectetur enim delectus eos sit veritatis eveniet perspiciatis.
          7 | tickle122    |            |    12 | 2016-07-11 | Facilis corporis animi et non non minus nisi. Magnam et sequi dolorum fugiat ab assumenda.
          8 | tickle122    |            |     6 | 2016-02-12 | Est debitis iusto sed consectetur. Eum eum rerum qui est nihil maxime quae. Ut autem velit sint iste consequatur culpa voluptatibus. Quo qui nobis cupiditate adipisci nostrum et. Est et qui at sit atque et fuga voluptatibus impedit.
          9 | cooljmessy   |            |    -1 | 2016-08-28 | Ea iure voluptas. Esse vero et dignissimos blanditiis commodi rerum dicta omnis modi.
         10 | weegembump   |            |     7 | 2016-10-16 | Incidunt quidem ut. Voluptatem blanditiis ipsa commodi suscipit quae et. Magni assumenda veritatis voluptatem dolor qui.
         11 | happyamy2016 |            |     2 | 2017-07-27 | Iure cum non veritatis dolore corrupti deserunt perferendis molestiae. Voluptatem ullam qui aut voluptatem. Magnam quo ut rem nobis quibusdam. Assumenda ex laboriosam ut ea explicabo.
         12 | happyamy2016 |            |    15 | 2017-06-10 | Maiores sed dolor. Consequatur quasi itaque culpa. Tempora ut autem est ad est voluptatem officiis. Ut sequi quaerat qui nam sunt.
         13 | happyamy2016 |            |     4 | 2016-03-07 | Dolorem ex dolorem blanditiis id. Error dolorem aut est. Facere nostrum et dolor repellendus neque amet deleniti. Aut debitis ut nam dolores.
         14 | weegembump   |            |    -4 | 2017-02-17 | Iure quas est omnis porro. Est in est distinctio sequi consectetur rerum deserunt. Et et reiciendis. Consequatur distinctio sint porro neque molestiae.
         15 | jessjelly    |            |    12 | 2016-05-16 | Voluptas enim dolores minima repellendus corporis mollitia omnis. Consectetur vitae quaerat possimus repellendus. Cumque maxime nisi itaque aliquid vel non non.
         16 | happyamy2016 |            |     1 | 2017-01-21 | Saepe iure voluptas aut cum occaecati illo. Unde neque et qui facilis cupiditate animi distinctio.
